"Time","image-stats-746c9bfb67-bzkw5"
2025-07-08 14:22:38,35.3 MiB
2025-07-08 14:22:40,35.3 MiB
2025-07-08 14:22:42,35.3 MiB
2025-07-08 14:22:44,35.3 MiB
2025-07-08 14:22:46,35.3 MiB
2025-07-08 14:22:48,35.3 MiB
2025-07-08 14:22:50,35.3 MiB
2025-07-08 14:22:52,35.3 MiB
2025-07-08 14:22:54,35.3 MiB
2025-07-08 14:22:56,35.3 MiB
2025-07-08 14:22:58,35.3 MiB
2025-07-08 14:23:00,35.3 MiB
2025-07-08 14:23:02,35.3 MiB
2025-07-08 14:23:04,35.3 MiB
2025-07-08 14:23:06,35.3 MiB
2025-07-08 14:23:08,35.3 MiB
2025-07-08 14:23:10,35.3 MiB
2025-07-08 14:23:12,35.3 MiB
2025-07-08 14:23:14,35.3 MiB
2025-07-08 14:23:16,35.3 MiB
2025-07-08 14:23:18,35.3 MiB
2025-07-08 14:23:20,35.3 MiB
2025-07-08 14:23:22,35.3 MiB
2025-07-08 14:23:24,35.3 MiB
2025-07-08 14:23:26,35.3 MiB
2025-07-08 14:23:28,35.3 MiB
2025-07-08 14:23:30,35.3 MiB
2025-07-08 14:23:32,35.3 MiB
2025-07-08 14:23:34,35.3 MiB
2025-07-08 14:23:36,35.3 MiB
2025-07-08 14:23:38,35.3 MiB
2025-07-08 14:23:40,35.3 MiB
2025-07-08 14:23:42,35.3 MiB
2025-07-08 14:23:44,35.3 MiB
2025-07-08 14:23:46,35.3 MiB
2025-07-08 14:23:48,35.3 MiB
2025-07-08 14:23:50,35.3 MiB
2025-07-08 14:23:52,35.3 MiB
2025-07-08 14:23:54,35.3 MiB
2025-07-08 14:23:56,35.3 MiB
