"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:28:22,475 B/s
2025-07-07 16:28:23,475 B/s
2025-07-07 16:28:24,475 B/s
2025-07-07 16:28:25,475 B/s
2025-07-07 16:28:26,475 B/s
2025-07-07 16:28:27,475 B/s
2025-07-07 16:28:28,475 B/s
2025-07-07 16:28:29,409 B/s
2025-07-07 16:28:30,401 B/s
2025-07-07 16:28:31,393 B/s
2025-07-07 16:28:32,385 B/s
2025-07-07 16:28:33,377 B/s
2025-07-07 16:28:34,380 B/s
2025-07-07 16:28:35,472 B/s
2025-07-07 16:28:36,472 B/s
2025-07-07 16:28:37,472 B/s
2025-07-07 16:28:38,472 B/s
2025-07-07 16:28:39,472 B/s
2025-07-07 16:28:40,472 B/s
2025-07-07 16:28:41,472 B/s
2025-07-07 16:28:42,472 B/s
2025-07-07 16:28:43,472 B/s
2025-07-07 16:28:44,366 B/s
2025-07-07 16:28:45,378 B/s
2025-07-07 16:28:46,386 B/s
2025-07-07 16:28:47,394 B/s
2025-07-07 16:28:48,402 B/s
2025-07-07 16:28:49,410 B/s
2025-07-07 16:28:50,475 B/s
2025-07-07 16:28:51,475 B/s
2025-07-07 16:28:52,475 B/s
2025-07-07 16:28:53,475 B/s
2025-07-07 16:28:54,475 B/s
2025-07-07 16:28:55,475 B/s
2025-07-07 16:28:56,475 B/s
2025-07-07 16:28:57,475 B/s
2025-07-07 16:28:58,475 B/s
2025-07-07 16:28:59,410 B/s
2025-07-07 16:29:00,402 B/s
