"Time","image-filter-cfbfd9b5f-k58vn"
2025-07-07 16:27:42,0.000795 cores
2025-07-07 16:27:43,0.000795 cores
2025-07-07 16:27:44,0.000795 cores
2025-07-07 16:27:45,0.000795 cores
2025-07-07 16:27:46,0.000795 cores
2025-07-07 16:27:47,0.000795 cores
2025-07-07 16:27:48,0.000795 cores
2025-07-07 16:27:49,0.000795 cores
2025-07-07 16:27:50,0.000753 cores
2025-07-07 16:27:51,0.000718 cores
2025-07-07 16:27:52,0.000718 cores
2025-07-07 16:27:53,0.000718 cores
2025-07-07 16:27:54,0.000718 cores
2025-07-07 16:27:55,0.000718 cores
2025-07-07 16:27:56,0.000718 cores
2025-07-07 16:27:57,0.000718 cores
2025-07-07 16:27:58,0.000718 cores
2025-07-07 16:27:59,0.000718 cores
2025-07-07 16:28:00,0.000718 cores
2025-07-07 16:28:01,0.000718 cores
2025-07-07 16:28:02,0.000718 cores
2025-07-07 16:28:03,0.000718 cores
2025-07-07 16:28:04,0.000718 cores
2025-07-07 16:28:05,0.000423 cores
2025-07-07 16:28:06,0.000433 cores
2025-07-07 16:28:07,0.000339 cores
2025-07-07 16:28:08,0.000462 cores
2025-07-07 16:28:09,0.000472 cores
2025-07-07 16:28:10,0.000483 cores
2025-07-07 16:28:11,0.000494 cores
2025-07-07 16:28:12,0.000504 cores
2025-07-07 16:28:13,0.000515 cores
2025-07-07 16:28:14,0.000526 cores
2025-07-07 16:28:15,0.000642 cores
2025-07-07 16:28:16,0.000642 cores
2025-07-07 16:28:17,0.000642 cores
2025-07-07 16:28:18,0.000642 cores
2025-07-07 16:28:19,0.000642 cores
2025-07-07 16:28:20,0.000642 cores
2025-07-07 16:28:21,0.000642 cores
2025-07-07 16:28:22,0.000642 cores
2025-07-07 16:28:23,0.000642 cores
2025-07-07 16:28:24,0.000642 cores
2025-07-07 16:28:25,0.000642 cores
2025-07-07 16:28:26,0.000532 cores
2025-07-07 16:28:27,0.000522 cores
2025-07-07 16:28:28,0.000511 cores
2025-07-07 16:28:29,0.000500 cores
2025-07-07 16:28:30,0.000489 cores
2025-07-07 16:28:31,0.000479 cores
2025-07-07 16:28:32,0.000468 cores
2025-07-07 16:28:33,0.000612 cores
2025-07-07 16:28:34,0.000602 cores
2025-07-07 16:28:35,0.000602 cores
2025-07-07 16:28:36,0.000602 cores
2025-07-07 16:28:37,0.000602 cores
2025-07-07 16:28:38,0.000602 cores
2025-07-07 16:28:39,0.000602 cores
2025-07-07 16:28:40,0.000602 cores
2025-07-07 16:28:41,0.000602 cores
2025-07-07 16:28:42,0.000602 cores
2025-07-07 16:28:43,0.000602 cores
2025-07-07 16:28:44,0.000602 cores
2025-07-07 16:28:45,0.000602 cores
2025-07-07 16:28:46,0.000602 cores
2025-07-07 16:28:47,0.000602 cores
2025-07-07 16:28:48,0.000642 cores
2025-07-07 16:28:49,0.000642 cores
