"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:28:31,401 B/s
2025-07-07 16:28:32,393 B/s
2025-07-07 16:28:33,385 B/s
2025-07-07 16:28:34,386 B/s
2025-07-07 16:28:35,482 B/s
2025-07-07 16:28:36,482 B/s
2025-07-07 16:28:37,482 B/s
2025-07-07 16:28:38,482 B/s
2025-07-07 16:28:39,482 B/s
2025-07-07 16:28:40,482 B/s
2025-07-07 16:28:41,482 B/s
2025-07-07 16:28:42,482 B/s
2025-07-07 16:28:43,482 B/s
2025-07-07 16:28:44,374 B/s
2025-07-07 16:28:45,385 B/s
2025-07-07 16:28:46,393 B/s
2025-07-07 16:28:47,401 B/s
2025-07-07 16:28:48,409 B/s
2025-07-07 16:28:49,417 B/s
2025-07-07 16:28:50,484 B/s
2025-07-07 16:28:51,484 B/s
2025-07-07 16:28:52,484 B/s
2025-07-07 16:28:53,484 B/s
2025-07-07 16:28:54,484 B/s
2025-07-07 16:28:55,484 B/s
2025-07-07 16:28:56,484 B/s
2025-07-07 16:28:57,484 B/s
2025-07-07 16:28:58,484 B/s
2025-07-07 16:28:59,417 B/s
2025-07-07 16:29:00,409 B/s
