"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:22:36,0.000914 cores
2025-07-07 15:22:38,0.000914 cores
2025-07-07 15:22:40,0.000900 cores
2025-07-07 15:22:42,0.000900 cores
2025-07-07 15:22:44,0.000934 cores
2025-07-07 15:22:46,0.000934 cores
2025-07-07 15:22:48,0.000934 cores
2025-07-07 15:22:50,0.000934 cores
2025-07-07 15:22:52,0.000934 cores
2025-07-07 15:22:54,0.000934 cores
2025-07-07 15:22:56,0.000781 cores
2025-07-07 15:22:58,0.000750 cores
2025-07-07 15:23:00,0.000619 cores
2025-07-07 15:23:02,0.000714 cores
2025-07-07 15:23:04,0.00104 cores
2025-07-07 15:23:06,0.00104 cores
2025-07-07 15:23:08,0.00104 cores
2025-07-07 15:23:10,0.00104 cores
2025-07-07 15:23:12,0.00104 cores
2025-07-07 15:23:14,0.00104 cores
2025-07-07 15:23:16,0.00107 cores
2025-07-07 15:23:18,0.00107 cores
2025-07-07 15:23:20,0.00107 cores
2025-07-07 15:23:22,0.00107 cores
2025-07-07 15:23:24,0.00107 cores
2025-07-07 15:23:26,0.00107 cores
2025-07-07 15:23:28,0.00115 cores
2025-07-07 15:23:30,0.00115 cores
2025-07-07 15:23:32,0.00111 cores
2025-07-07 15:23:34,0.00111 cores
2025-07-07 15:23:36,0.00111 cores
2025-07-07 15:23:38,0.00111 cores
2025-07-07 15:23:40,0.000796 cores
2025-07-07 15:23:42,0.000833 cores
2025-07-07 15:23:44,0.000871 cores
2025-07-07 15:23:46,0.000749 cores
2025-07-07 15:23:48,0.000965 cores
2025-07-07 15:23:50,0.00113 cores
2025-07-07 15:23:52,0.00113 cores
2025-07-07 15:23:54,0.00113 cores
2025-07-07 15:23:56,0.00113 cores
2025-07-07 15:23:58,0.00108 cores
2025-07-07 15:24:00,0.00108 cores
2025-07-07 15:24:02,0.00108 cores
2025-07-07 15:24:04,0.00105 cores
2025-07-07 15:24:06,0.00105 cores
2025-07-07 15:24:08,0.00105 cores
2025-07-07 15:24:10,0.00105 cores
2025-07-07 15:24:12,0.00105 cores
2025-07-07 15:24:14,0.000873 cores
2025-07-07 15:24:16,0.000693 cores
2025-07-07 15:24:18,0.00101 cores
2025-07-07 15:24:20,0.00101 cores
2025-07-07 15:24:22,0.00101 cores
2025-07-07 15:24:24,0.00101 cores
2025-07-07 15:24:26,0.00101 cores
2025-07-07 15:24:28,0.00101 cores
2025-07-07 15:24:30,0.00100 cores
